 rank  , Id , reg, loc, Clu, Value 
  91  , "Steven H. Low"                   , 3 , 3 , 7    , 3.546111111
  92  , "Thong Nguyen"                    , 7 , 1 , 11   , 3.509670617
  93  , "Fengyu Zhou"                     , 3 , 2 , 7    , 3.496111111
  94  , "Olmo Cerri"                      , 3 , 3 , 11   , 3.447654321
  95  , "Vincent Humphrey"                , 5 , 1 , 1    , 3.345850836
  96  , "Martin J. Savage"                , 1 , 1 , 9    , 3.333571429
  97  , "Natalie Klco"                    , 3 , 2 , 9    , 3.333571429
  98  , "Samantha Wu"                     , 2 , 1 , 14   , 3.333333334
  99  , "Kaushik Bhattacharya"            , 1 , 1 , 3    , 3.333333333
 100  , "Swarnava Ghosh"                  , 3 , 3 , 3    , 3.333333333
 101  , "J. Duarte"                       , 3 , 2 , 11   , 3.312084443
 102  , "Chi&#8208;Ming Chang"            , 3 , 2 , 13   , 3.261111111
 103  , "Andrew Singletary"               , 3 , 3 , 7    , 3.240158730
 104  , "John F. Brady"                   , 3 , 2 , 22   , 3.222222222
 105  , "Zhiwei Peng"                     , 3 , 2 , 22   , 3.222222222
 106  , "Daniil V. Ilyin"                 , 3 , 3 , 33   , 3.222222222
 107  , "Snezhana I. Abarzhi"             , 3 , 2 , 33   , 3.222222222
 108  , "Renyu Hu"                        , 3 , 2 , 12   , 3.207326663
 109  , "Mario Damiano"                   , 9 , 1 , 12   , 3.207326663
 110  , "Shu-Heng Shao"                   , 6 , 1 , 13   , 3.205555556
