Id;Label;Greek;Nature;Longitude;Latitude;Source;Target;Port-commodity;Source-a;Target-a;Type;port-port;;;Source-b;Target-b;Port-commodity group;Source-d;Target-d;Commodity groups;Id;Label
;;;;;;2063;1001;;1007;1053;Undirected;;;;2113;1001;;2069;2119;;;
;;;;;;2081;1001;;1032;1053;Undirected;;;;2122;1001;;2070;2070;;;
;;;;;;2087;1001;;1033;1053;Undirected;;;;2122;1001;;2071;2118;;;
;;;;;;2088;1001;;1032;1055;Undirected;;;;2122;1001;;2072;2072;;;
;;;;;;2089;1001;;1033;1055;Undirected;;;;2122;1001;;2073;2128;;;
;;;;;;2090;1001;;1051;1055;Undirected;;;;2124;1001;;2074;2121;;;
;;;;;;2091;1001;;1052;1055;Undirected;;;;2124;1001;;2075;2120;;;
;;;;;;2092;1001;;1053;1055;Undirected;;;;2115;1001;;2076;2125;;;
;;;;;;2093;1001;;1002;1003;Undirected;;;;2115;1001;;2077;2125;;;
;;;;;;2094;1001;;1002;1006;Undirected;;;;2115;1001;;2078;2125;;;
;;;;;;2095;1001;;1002;1008;Undirected;;;;2120;1001;;2079;2079;;;
;;;;;;2096;1001;;1002;1011;Undirected;;;;2124;1001;;2080;2111;;;
;;;;;;2097;1001;;1002;1012;Undirected;;;;2124;1001;;2132;2132;;;
;;;;;;1001;2098;;1002;1015;Undirected;;;;1001;2118;;2116;2127;;;
;;;;;;1001;2024;;1002;1014;Undirected;;;;1001;2111;;2081;2122;;;
;;;;;;1001;2099;;1002;1019;Undirected;;;;1001;2123;;2082;2111;;;
;;;;;;1001;2100;;1002;1007;Undirected;;;;1001;2116;;2083;2111;;;
;;;;;;1001;2101;;1002;1028;Undirected;;;;1001;2130;;2084;2111;;;
;;;;;;1001;2102;;1002;1021;Undirected;;;;1001;2130;;2085;2123;;;
;;;;;;2103;1001;;1002;1032;Undirected;;;;2122;1001;;2086;2131;;;
;;;;;;2028;1001;;1002;1033;Undirected;;;;2028;1001;;2087;2122;;;
;;;;;;2079;1001;;1002;1013;Undirected;;;;2079;1001;;2088;2122;;;
;;;;;;1001;2044;;1002;1018;Undirected;;;;1001;2044;;2089;2122;;;
;;;;;;1001;2104;;;;;;;;;;;2090;2124;;;
;;;;;;2108;1001;;;;;;;;;;;2091;2124;;;
;;;;;;2107;1001;;;;;;;;;;;2092;2115;;;
;;;;;;;;;;;;;;;;;;2093;2115;;;
;;;;;;;;;;;;;;;;;;2094;2115;;;
;;;;;;;;;;;;;;;;;;2095;2120;;;
;;;;;;;;;;;;;;;;;;2096;2124;;;
;;;;;;;;;;;;;;;;;;2097;2124;;;
1002;Berenike;;Emporion;35.28;23.54;1002;2003;;;;;;;;1002;2111;;2098;2118;;;
;;;;;;1002;2004;;;;;;;;1002;2111;;2099;2128;;;
;;;;;;1002;2005;;;;;;;;1002;2111;;2100;2131;;;
;;;;;;1002;2003;;;;;;;;1002;2111;;2101;2130;;;
;;;;;;1002;2004;;;;;;;;1002;2111;;2102;2130;;;
;;;;;;1002;2005;;;;;;;;1002;2111;;2103;2122;;;
;;;;;;1002;2006;;;;;;;;1002;2111;;2104;2122;;;
;;;;;;1002;2007;;;;;;;;1002;2111;;2105;2122;;;
;;;;;;1002;2008;;;;;;;;1002;2116;;2106;2122;;;
;;;;;;1002;2009;;;;;;;;1002;2116;;2107;2124;;;
